Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
KJ192125.1.1447	1	0	0	0.000816654	0	1	-0.612763669	0
KJ540668.1.1436	1	0	0	6.54E-67	0	13	-0.5	0
KM108635.1.1515	4	667.5984506	5092	0.003974118	0.333333333	4	0.59221057	0
KM200371.1.1496	1	0	0	0.001158188	0	2	-0.847511447	0
KM200465.1.1483	3	305	1277	0.006786241	0.333333333	6	0.044901326	0
KM200751.1.1559	1	0	0	0.000816654	0	1	-0.612763669	0
KM823762.1.1546	10	2784.289423	43688	0.011897357	0	2	1.760216082	0.18
KM978287.1.1535	1	0	0	8.06E-99	0	52	0	0
KP162203.1.1518	1	0	0	8.06E-99	0	54	0	0
KP411861.1.1477	2	0	0	0.056088746	1	3	-0.521266362	0
KP745072.1.1450	1	0	0	0.000193389	0	0	-0.825722824	0
KT905712.1.1543	1	0	0	0.000777673	0	4	-0.808595201	0
KX239185.1.1533	10	1813.128438	27000	0.002498116	0	2	1.760216082	0.18
KX239212.1.1482	1	0	0	0.003975486	0	6	-0.583717232	0
KX753034.1.1486	1	0	0	1.79E-70	0	9	-0.75	0
KY190480.1.1482	3	144.8788544	599	0.026757723	0.333333333	3	-0.269320954	0
KY190548.1.1462	2	107.7563745	1111	0.00095098	0	1	-0.612763669	0.5
LC121999.1.1497	2	0	0	0.042072468	1	3	-0.521266362	0
LMIW01000001.1349490.1351021	1	0	0	7.26E-83	0	18	0	0
LN563846.1.1413	1	0	0	8.06E-99	0	51	0	0
LN570780.1.1389	1	0	0	8.06E-99	0	55	0	0
LN572097.1.1296	1	0	0	0.02959495	0	3	-0.77321177	0
LN573915.1.1394	1	0	0	8.06E-99	0	35	0	0
LNNI01000005.225118.226745	1	0	0	8.06E-99	0	48	0	0
OTU_dn_1124	7	3194.11966	34201	0.000443437	0	2	0.782318259	0.244897959
OTU_dn_1211	1	0	0	8.06E-99	0	21	0	0
OTU_dn_13712	2	62.50664394	540	0.00155613	0	4	-0.341659944	0
OTU_dn_140	1	0	0	0.000230716	0	0	-0.825722824	0
OTU_dn_147	5	864.6506678	6466	0.002295371	0	0	1.651445648	0.32
OTU_dn_162	1	0	0	7.26E-83	0	19	0	0
OTU_dn_17	2	561.6890806	3519	0.019752325	0	5	-0.689399745	0.5
OTU_dn_178	3	305	964	0.002221945	0.333333333	4	0.125275313	0
OTU_dn_183	1	0	0	0.010407112	0	6	-0.583717232	0
OTU_dn_188	3	308.1521341	3832	0.078575421	0	5	-0.266864417	0.444444444
OTU_dn_189	3	332.1738815	7211	0.000113082	0	0	0.825722824	0
OTU_dn_19	5	432.6032189	6175	0.006245365	0	1	0.683080811	0.32
OTU_dn_193	1	0	0	8.06E-99	0	47	0	0
OTU_dn_2	1	0	0	8.06E-99	0	33	0	0
OTU_dn_20	1	0	0	0.000308195	0	2	-0.847511447	0
OTU_dn_207	1	0	0	0.000105558	0	1	-0.612763669	0
OTU_dn_215	1	0	0	0.00030541	0	2	-0.847511447	0
OTU_dn_218	2	72.21414059	339	0.000155232	0	0	0	0
OTU_dn_265	1	0	0	7.26E-83	0	19	0	0
